Date,Time,Sqn,TOTAL ABORT?,Target Location,Target Description,Target Type,"Raid=1, Alert=0",Summary Rec (T/F) or Comments,COM-PLETE,Bomb Wgt (LB),A/C Launched,ABORT WX,ABORT MECH,ABORT OTHR,DIVERT WX,DIVRT MECH,DIV DISOR,BOMB-ING,Miss- ing,FL-NO DAMAGE,FL-DAMAGE,Alt. (Feet),Rec #,Air Fight ?,A/C Type,T.O. Time,RTB Time,Bombing Time or Midpoint,Dura- tion (Hrs),Base,Distance From Base (Km),Killed,Woun-ded,Damage (Marks),Damage (Francs),# Bombs,Time Lost (Hours),Other Cost (Marks),Other Cost (Francs),Alternate Location Name,Raid or Alert Length (Hrs),"Page #, Maurer Maurer, v.IV, or other Reference",Comments,Chrono- logical Order
23Mar18,Night,216,FALSE,Conz (Karthaus),"Sidings,Stns,Bridges",R,,TRUE,TRUE,1120,2,1,0,0,0,0,0,1,0,0,0,6000,446,,HP,,,,,Ochey,130,,,,,,,,,,,G.K. Williams Summary,,3403
23Mar18,Night,216,FALSE,Conz (Karthaus),"Sidings,Stns,Bridges",R,,FALSE,FALSE,896,2,1,0,0,0,0,0,1,0,0,0,6000,447,,HP,,,,,Ochey,130,,,,,,,,,,,G.K. Williams Summary,,3404
23Mar18,Night,216,FALSE,Conz(Karthaus)? Saare R.,Bridge,R,,FALSE,FALSE,224,2,1,0,0,0,0,0,1,0,0,0,6000,448,,HP,,,,,Ochey,130,,,,,,,,,,,G.K. Williams Summary,,3405
23Mar18,Night,XVIII Gruppo,,Metz,Aerodrome,A,,"Raid on Metz by 3 Capronis of 3rd Sqn of Italian XVIII Gruppo - [possible this raid was on 22/23 vice 23/24 March]. Base info from ""Les Escadrilles…"" though Martel's map says it was Ferme des Grèves.",,,3,,,,,,,,,,,,,,Caproni,,,,,Épiez-lès-Vaucouleurs,75,,,,,,,,,,,Gentilli & Varriale 93,,3406
23Mar18,Night,Escadre 11,,Longuyon,Rail Stn,R,,Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,440,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3407
23Mar18,Night,Escadre 11,,Fort Prenz-Friedrich Charles à Metz,Fort,T,,Attacks of opportunity against non-prescribed targets. Martel 243 says Escadre 11 were night bombers.,,442,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3408
23Mar18,Night,Escadre 11,,Deux-Ponts (Zweibrucken),Rail Stn,R,,Attacks of opportunity against non-prescribed targets. Martel 243 says Escadre 11 were night bombers.,,880,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3409
23Mar18,Night,Escadre 11,,Conflans,Rail Stn,R,,Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,880,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3410
23Mar18,Night,Escadre 11,,Ludwigshafen,Factories/Mills,C,,"I adjusted this record by subtracting the bomb # & wgt from that of CAP115. This adjustment shows that the non-CAP115 part of Escadre 11 dropped EXACTLY the same bomb weight as CAP115, which I don't believe.  I think it's more likely that this record double-counts the bombwgt dropped by CAP115.   --SCS.""Objective prescribed by telegram 3456 on 11 Feb."" (Martel 264 says High Command decided to make a special effort against chemical plants on 11FEB1918.)",,3520,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918 & Martel 264,,3411
23Mar18,Night,CAP115 (Escadre11/GB2),,Ludwigshafen,Factories/Mills,C,,"Capronis 112,118,105,104. Am assuming all four planes carried bombload listed for 104: 8x200mm.  Caproni #114, on 1st mission, aborted mission, presumably for mechanical reasons. ""Objective prescribed by telegram 3456 on 11 Feb."" (Martel 264 says High Command decided to make a special effort against chemical plants on 11FEB1918.)",,3520,5,,1,,,,,4,0,0,0,8612,,No,Caproni,,,,5.75,Épiez-lès-Vaucouleurs,225,,,,,32,,,,,,CAP115 Log Image 0105 & SHAA - G.A.E. Summary of Operations for 16-31 March 1918 & Martel 264,,3412
23Mar18,Night,Escadre 11,,Frescaty,Airfield,A,,Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,14529,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3413
23Mar18,Night,GB8,,?,Battlefield,T,,,,29700,,,,,,,,56,,,,,,,Voisin8/10,,,,,,,,,,,,,,,,,SHAA - G.A.N. Summary of Operations for 16-31 March 1918,,3414
23Mar18,Night,Escadre 11,,Frescaty,Aerodrome,A,,"Esc. 11 includes GB1,2,7,18 - all 6 raids on this target totaled 11969 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAA - G.A.R. Escadre 11 Summary of Operations for 15-31 March 1918,,3415
23Mar18,Night,Escadre 11,,Conflans,Rail Stn,R,,"Esc. 11 includes GB1,2,7,18 - both raids on this target totaled 800 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAA - G.A.R. Escadre 11 Summary of Operations for 15-31 March 1918,,3416
23Mar18,16:30,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts. 2 alerts - 1630-1700, 1710-1755.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.25,,,,1.25,NARA 990 Roll 58,,3417
23Mar18,16:45,,,Dillingen Blst Fur.,,,0,ALERT ONLY.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.083333333,,,Saarbrucken,0.083333333,NARA 990,,3418
23Mar18,21:40,,,Metz (RR Stns),,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,5,0.833333333,,,Sablon or Montigny Stns,0.833333333,NARA 990 Roll 58,,3419
23Mar18,21:40,,,Hagendingen,,,0,AA fire 2150-2220. [CHANGED RAID TO ALERT -SCS],,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0.916666667,,,Rail Stn - Hagondange,0.916666667,"NARA 990, Roll 58",,3420
23Mar18,21:45,,,Thionville - Rail,,,0,"ALERTS 2145-2230, 0100-0245.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2.5,,,,2.5,NARA 990,,3421
23Mar18,23:47,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,3.216666667,,,,3.216666667,NARA 990 Roll 58,,3422
23Mar18,,,,Thionville-Rail Stn,,,1,"""From 10:00 to 2:00, air raid upon the railroad station.  No damage.""  [Alert lasted 4 hours? Or the raid itself?  AM/PM not specified.]",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,4,,,Diedenhofen,4,407,,3423
24Mar18,Day,55,FALSE,Ludwigshafen,BASF,M,,FALSE,TRUE,3083,12,0,0,0,0,0,0,12,2,0,0,12000,449,Yes,DH4,,,,,Tantonville,200,,,,,,,,,,,G.K. Williams Summary,,3424
24Mar18,Day,"GB3,7,8",,"St. Quentin, La Fere, Ham","Convoys, troops",T,,Same record for 3 days (24-6 March) - not certain about numbers - missions included strafing as well as bombing - 1 missing a/c was SPAD escorting Breguet bombers.,,,6,,,,,,,6,2,,,,,,Breguet14,,,,,,,,,,,,,,,,,,,3425
24Mar18,Day,GB4,,Probably Alsace,"Probably Troops, etc.",T,,Target designated by VII Armée,,1265,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3426
24Mar18,Day,GB3,,?,Battlefield,T,,Regression estimate - sorties vs bomb wgt (R-sq = 0.951),,9634,,,,,,,,31,,,,,,,Breguet14,,,,,Maisonneuve,,,,,,,,,,,,SHAA - G.A.N. Summary of Operations for 16-31 March 1918,,3427
24Mar18,Night,100,FALSE,Metz & Thionville,Metz-Luxembourg Railway,R,,TRUE,TRUE,4773,19,0,3,2,0,0,0,14,0,0,0,829,450,,FE2,,,,,Ochey,85,,,,,,,,,,,G.K. Williams Summary,,3428
24Mar18,Night,100,FALSE,Thionville,Metz-Luxembourg Railway,R,,FALSE,FALSE,604,3,0,1,0,0,0,0,2,0,0,0,1000,451,,FE2,,,,,Ochey,85,,,,,,,,,,,G.K. Williams Summary,,3429
24Mar18,Night,100,FALSE,Metz,Metz-Luxembourg Railway,R,,FALSE,FALSE,1935,8,0,2,0,0,0,0,6,0,0,0,800,452,,FE2,,,,,Ochey,60,,,,,,,,,,,G.K. Williams Summary,,3430
24Mar18,Night,100,FALSE,Metz,Metz-Luxembourg Railway,R,,FALSE,FALSE,1934,8,0,0,2,0,0,0,6,0,0,0,800,453,,FE2,,,,,Ochey,60,,,,,,,,,,,G.K. Williams Summary,,3431
24Mar18,Night,216,FALSE,"Cologne,Lux.,Courcelles","Factory, Railway, Station",R,,TRUE,TRUE,3584,4,0,1,0,0,1,0,3,0,0,0,4167,454,,HP,,,,,Ochey,290,,,,,,,,,,,G.K. Williams Summary,,3432
24Mar18,Night,216,FALSE,Cologne,Factory?,I,,FALSE,FALSE,1120,2,0,1,0,0,0,0,1,0,0,0,5500,455,,HP,,,,,Ochey,290,,,,,,,,,,,G.K. Williams Summary,,3433
24Mar18,Night,216,FALSE,Luxembourg,Railways,R,,FALSE,FALSE,1344,2,0,0,0,0,1,0,1,0,0,0,2000,456,,HP,,,,,Ochey,135,,,,,,,,,,,G.K. Williams Summary,,3434
24Mar18,Night,216,FALSE,Courcelles,Railway Station,R,,FALSE,FALSE,1120,1,0,0,0,0,1,0,1,0,0,0,5000,457,,HP,,,,,Ochey,60,,,,,,,,,,,G.K. Williams Summary,,3435
24Mar18,Night,Escadre 11,,Frescaty,Airfield,A,,Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,770,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3436
24Mar18,Night,Escadre 11,,Hayange,Factories/Mills,B,,Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,880,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3437
24Mar18,Night,CAP115 (Escadre11/GB2),,Dudelange,Factories/Mills,B,,Caproni #114; 1st completed mission. Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,880,1,,,,,,,1,0,0,0,9843,,No,Caproni,,,,1.92,Épiez-lès-Vaucouleurs,105,,,,,8,,,,,,CAP115 Log Image 0106 & SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3438
24Mar18,Night,GB5,,"Vouziers, Juniville, Challerange",Rail Stations,R,,,,1602,,,,,,,,7,,,,,,,Voisin8/10,,,,,Villeneuve,,,,,,,,,,,,SHAA - G.A.N. Summary of Operations for 16-31 March 1918,,3439
24Mar18,Night,Escadre 11,,Thionville,Rail Stn,R,,Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,4587,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3440
24Mar18,Night,Escadre 11,,Metz-Sablons,Rail Stn,R,,Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,5390,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3441
24Mar18,Night,CAP115 (Escadre11/GB2),,Luxembourg,Rail Stn,R,,"Capronis 112,105,118,110.  Last mission from Epiez airfield; 1st mission for #110.  Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.",,3520,4,,,,,,,4,0,0,0,8694,,No,Caproni,,,,3.00,Épiez-lès-Vaucouleurs,145,,,,,32,,,,,,CAP115 Log Image 0106 & SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3442
24Mar18,Night,Escadre 11,,Luxembourg,Rail Stn,R,,This record was adjusted by subtracting CAP115's bomb wgt & #.  Raid was part of the blockade of the iron-producing basin. Martel 243 says Escadre 11 was all night-bombing escadrilles.,,3938,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,SHAA - G.A.E. Summary of Operations for 16-31 March 1918,,3443
24Mar18,Night,GB8,,?,Battlefield,T,,,,16225,,,,,,,,32,,,,,,,Voisin8/10,,,,,,,,,,,,,,,,,SHAA - G.A.N. Summary of Operations for 16-31 March 1918,,3444
24Mar18,Night,Escadre 11,,Frescaty,Aerodrome,A,,"Esc. 11 includes GB1,2,7,18 - all 6 raids on this target totaled 11969 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAA - G.A.R. Escadre 11 Summary of Operations for 15-31 March 1918,,3445
24Mar18,Night,Escadre 11,,Metz-Sablon,Rail Stn,R,,"Esc. 11 includes GB1,2,7,18 - both raids on this target totaled 2875 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAA - G.A.R. Escadre 11 Summary of Operations for 15-31 March 1918,,3446
24Mar18,Night,Escadre 11,,Thionville,Rail Stn,R,,"Esc. 11 includes GB1,2,7,18 - both raids on this target totaled 2595 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAA - G.A.R. Escadre 11 Summary of Operations for 15-31 March 1918,,3447
24Mar18,0:18,,,Hagendingen,,,0,AA fire 0115-0200. [CHANGED RAID TO ALERT -SCS],,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,4.116666667,,,Rail Stn - Hagondange,4.116666667,"NARA 990, Roll 58",,3448
24Mar18,0:20,,,Ludwigshafen,,,1,"Raid 0020 - 0225.  210,000M is est. value of gasoline lost when 13 full military gasoline tank cars were punctured.  [Doesn't include other damage to city.]  Direct damages to BASF in 22 raids was 519,310M; 14 killed.  Each raid or alert caused production losses in another 24 hour plant and in many city businesses. ",,,,,,,,,,,,,,,,,,,,,,,,4,13,210000,,13,2.083333333,,,"BASF, Mannheim",2.083333333,"464,465",,3449
24Mar18,0:50,,,Hochst A.M.,,,0,"ALERTS 0050-0152, 0215-0226. NO BOMBS IN CITY LIMITS. FACTORY STOPPED DURING 40% OF ALERTS",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,1.216666667,NARA 990,,3450
24Mar18,1:48,,,Trier,,,0,"DURING ALERTS, RR TRAFFIC & FACTORY & FOUNDRY WORK STOPPED",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.533333333,,,Treves,0.533333333,NARA 990 Roll 58,,3451
24Mar18,11:15,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.75,,,,1.75,NARA 990 Roll 58,,3452
24Mar18,12:24,,,Hochst A.M.,,,0,NO BOMBS IN CITY LIMITS. FACTORY STOPPED DURING 40% OF ALERTS,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,0.45,NARA 990,,3453
24Mar18,12:45,,,Ludwigshafen,,,1,"Raid from 1245 - 1340. Direct damages to BASF in 22 raids was 519,310M; 14 killed.  Each raid or alert caused production losses in another 24 hour plant and in many city businesses. ",,,,,,,,,,,,,,,,,,,,,,,,0,9,,,14,0.916666667,,,"BASF, Mannheim",0.916666667,464,,3454
24Mar18,12:45,,,Ludwigshafen RR,,,1,"4 bombs on main line between Ludw'n and Mannheim.  Traffic delayed 3 hours; work hindered at the RR Rhine harbor for several days.  Damage to tracks, 13 gasoline tank cars & 10 freight cars.",,,,,,,,,,,,,,,,,,,,,,,,,,28000,,4,3,,,,2.083333333,466,,3455
24Mar18,17:35,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.133333333,,,,0.133333333,NARA 990 Roll 58,,3456
24Mar18,19:00,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.75,,,,1.75,NARA 990 Roll 58,,3457
24Mar18,20:20,,,Hagendingen,,,1,"Attacks 2020-0205, ""with intervals"" of calm. AA fire 2130-0205. ""4 bombs dropped on E side of station.  Road bed damaged.""",,,,,,,,,,,,,,,,,,,,,,,,0,0,,,4,5.75,,,Hagondange (Rail Stn),5.75,"383, NARA 990",,3458
24Mar18,20:55,,,Metz (RR Stns),,,1,"1 dud.  (BRITISH SURVEY reported 6 killed & 2 wounded vice 2 killed & 6 wounded.)  Additional details from BRITISH SURVEY: Several bombs hit goods train on main track No. 6 in the stn. 15 trucks caught fire and 7 munition wagons exploded; whole train then exploded & burned out. This resulted in extensive damage to a gasometer, surrounding houses and buildings, and RR tracks. A repatriated Italian who left Metz on 25 March said damage exceeded 2,000,000M.",,,,,,,,,,,,,,,,,,,,,,,,2,6,2000000,,21,5.583333333,,,Sablon or Montigny Stns,5.583333333,"NARA 990 Roll 58; AM ""Results…"" p.25",,3459
24Mar18,21:07,,,Thionville - Rail,,,0,"ALERT 2107-0245. [CURIOUSLY, NO ALERTS LISTED FOR MORE THAN A MONTH AFTER THIS ONE.]",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,5.633333333,,,,5.633333333,NARA 990,,3460
24Mar18,21:10,,,Dillingen Blst Fur.,,,1,"2 raids: 2110-2135, 2345-2355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583333333,,,Saarbrucken,0.583333333,NARA 990,,3461
24Mar18,21:30,,,"Hollerich, Lux.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1307,12,,,,Hollerick,2,NARA 990,,3462
24Mar18,22:11,,,Trier,,,0,"DURING ALERTS, RR TRAFFIC & FACTORY & FOUNDRY WORK STOPPED. 2 alerts: 2211-2250, 2253-0016.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2.033333333,,,Treves,2.033333333,NARA 990 Roll 58,,3463
24Mar18,23:25,,,Coblenz,,,0,"ALERTS ONLY FROM 2325-0105, 0140-0200. ALL RAIL TRAFFIC STOPPED.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,2,,,,2,NARA 990,,3464
24Mar18,Day,,,Differdange,,,0,DAYTIME ALERT - THESE WERE RARE PREVIOUSLY BUT MORE FREQUENT FROM THIS POINT ON.  3 ALARMS THAT NIGHT (24/25 MAR 1918) LISTED IN SEPARATE RECORD. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,5976,,"Differdingen, Lux.",,NARA 990,,3465
24Mar18,Night,,,Differdange,,,0,3 ALERTS THAT NIGHT.  SINGLE ALERT THAT DAY (24MAR) LISTED IN SEPARATE RECORD. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,106572,,"Differdingen, Lux.",,NARA 990,,3466
24Mar18,Night,,,Rumelingen & Ottlingen BF,,,0,"Loss of Fe production at blast furnace computed at 500M per ton (MM, p.494)",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,5000,,Luxembourg,,NARA 990 Roll 58,,3467
24Mar18,,,,Thionville-Rail Stn,,,1,Raid [or alert?] from 10:00 to 2:00 [AM/PM not specified].  No damage.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,4,,,Diedenhofen,4,407,,3468
24Mar18,,,,Luxembourg,,,1,Telegraph connections destroyed.,,,,,,,,,,,,,,,,,,,,,,,,0,0,25,,,,,,,,413,,3469
24Mar18,,,,Trier (City),,,1,From British report and microfilm.,,,,,,,,,,,,,,,,,,,,,,,,0,0,1500,,,,,,Treves,,"423, NARA Roll 58",,3470
25Mar18,15:00,Groupement Fequant,,Montdidier,Airfields & troops,O,,"Martel, p.319 - 2 expeditions of 8 Breguets - escorted by Spads - fired 20,000 rounds at troops - THIS ENTRY CLEARLY RELATED TO OTHER GRPMT FEQUANT ENTRY",,8250,16,,,,,,,16,,,,,,,Breguet14,,,,,,,,,,,,,,,,,,,3471
25Mar18,Day,"GB3,7,8",,"St. Quentin, La Fere, Ham","Convoys, troops",T,,Same record for 3 days (24-6 March) - not certain about numbers - missions included strafing as well as bombing - 1 missing a/c was SPAD escorting Breguet bombers.,,,6,,,,,,,6,2,,,,,,Breguet14,,,,,,,,,,,,,,,,,,,3472
25Mar18,Day,Groupement Fequant,,"Noyon, Roye, Montdidier",Troops,T,,"20 Breguets, 60 fighters - ""numerous"" bombs dropped on Noyon, starting 2 fires. 1 EA shot down near Lagny.",,,20,,,,,,,,,,,,,Yes,Breguet14,,,,,,,,,,,,,,,,,,,3473
25Mar18,Day,GB6,,"Ville-s-Retourne, Warmierville",Rail Stations,R,,,,3960,,,,,,,,17,,,,,,,Breguet14,,,,,Cernon,,,,,,,,,,,,SHAA - G.A.N. Summary of Operations for 16-31 March 1918,,3474
25Mar18,Day,GB3,,?,Battlefield,T,,Regression estimate - sorties vs bomb wgt (R-sq = 0.951),,5203,,,,,,,,17,,,,,,,Breguet14,,,,,Maisonneuve,,,,,,,,,,,,SHAA - G.A.N. Summary of Operations for 16-31 March 1918,,3475
25Mar18,0:35,,,Troisdorf-RWSAG,,,0,"""Other Cost"" is estimated lost production & labor costs.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.667,109897.5307,,,1.667,NARA 990 Roll 58,,3476
25Mar18,0:52,,,Cologne,,,1,"10 bombs fell in Deutz, on east bank of river - lumber pile burned. Time of 0052-0155 came from NARA microfilm.  [Report says this was a 24/25 MAR night raid by an IF Handley Page.]",,,,,,,,,,,,,,,,,,,,,,,,0,0,,,10,1.05,,,,1.05,485 & NARA 990,,3477
25Mar18,2:29,,,Trier,,,0,"DURING ALERTS, RR TRAFFIC & FACTORY & FOUNDRY WORK STOPPED",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.516666667,,,Treves,0.516666667,NARA 990 Roll 58,,3478
25Mar18,13:30,,,"Rodange, Luxbrg.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,0.25,NARA 990,,3479
25Mar18,13:40,,,Bonn,,,0,ALERT ONLY. BUSINESSES & STREETCARS STOPPED.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.833333333,,,,0.833333333,NARA 990,,3480
25Mar18,13:55,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts. 2 alerts - 1355-1430, 1630-1645.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.833333333,,,,0.833333333,NARA 990 Roll 58,,3481
25Mar18,22:30,,,"Rodange, Luxbrg.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,0.25,NARA 990,,3482
25Mar18,,,,Thionville (Town),,,1,ONLY INFO IS RAID DATE & # BOMBS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,NARA 990 Roll 58,,3483
26Mar18,Day,"GB3,7,8",,"St. Quentin, La Fere, Ham","Convoys, troops",T,,Same record for 3 days (24-6 March) - not certain about numbers - missions included strafing as well as bombing - 1 missing a/c was SPAD escorting Breguet bombers.,,,6,,,,,,,6,2,,,,,,Breguet14,,,,,,,,,,,,,,,,,,,3484
26Mar18,Day,GB3,,?,Battlefield,T,,Regression estimate - sorties vs bomb wgt (R-sq = 0.951),,9317,,,,,,,,30,,,,,,,Breguet14,,,,,Maisonneuve,,,,,,,,,,,,SHAA - G.A.N. Summary of Operations for 16-31 March 1918,,3485
26Mar18,Night,GB8,,"Ham, Peronne, Tergnier, Roye, Avre Valley",Cities & RR stns,O,,"Martel, p.322 - this attack hit same areas as daylight raids the same day - used flares - raids demoralized enemy troops",,,51,,,,,,,,,,,,,,Voisin8/10,,,,,,,,,,,,,,,,,Martel 322,,3486
27Mar18,Day,55,FALSE,Metz,Rail Jtn & Sidings,R,,FALSE,TRUE,2482,12,0,1,0,0,0,0,11,0,0,0,14000,458,,DH4,,,,,Tantonville,70,,,,,,,,,,,G.K. Williams Summary,,3487
27Mar18,Night,GB1,FALSE,"Ham, Guiscard, Peronne","Convoys, troops",T,,GB1 moved to Somme front for German offensive - Voisin bombers T.O. after midnight once the skies cleared - Esc.116 with GB1 on this raid for the first time,,9405,22,,,,,,,22,0,1,0,,,No,Voisin10,,,,,Passy en Vallois,,,,,,,,,,,,GB1 War Diary 0183,,3488
27Mar18,Night,GB8,,"Ham, Peronne, Tergnier, Roye, Avre Valley",Cities & RR stns,O,,"Martel, p.322 - this attack hit same areas as daylight raids the same day - used flares - raids demoralized enemy troops",,,19,,,,,,,,,,,,,,Voisin8/10,,,,,,,,,,,,,,,,,Martel 322,,3489
27Mar18,Night,XVIII Gruppo,,Frescaty,Aerodrome,A,,"2 Capronis of 15th Sqn dropped 18 x 162mm bombs. Base info from ""Les Escadrilles…"" though Martel's map says it was Ferme des Grèves.",,,,,,,,,,,,,,,,,Caproni,,,,,Épiez-lès-Vaucouleurs,75,,,,,,,,,,,Gentilli & Varriale 136,,3490
27Mar18,0:35,,,Hagendingen,,,0,No AA fire. [CHANGED RAID TO ALERT -SCS],,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0.083333333,,,Rail Stn - Hagondange,0.083333333,"NARA 990, Roll 58",,3491
27Mar18,15:20,,,Metz (RR Stns),,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,16,0.416666667,,,Sablon or Montigny Stns,0.416666667,NARA 990 Roll 58,,3492
28Mar18,Day,55,FALSE,Luxembourg,Railway Station,R,,FALSE,TRUE,2706,12,0,0,0,0,0,0,12,0,0,0,13000,459,,DH4,,,,,Tantonville,155,,,,,,,,,,,G.K. Williams Summary,,3493
28Mar18,Night,GB1,FALSE,"Nesles, Guiscard, Roye, St. Quentin","RR targets, camps, convoys",,,,,,,,,,,,,16,,,,,,,Voisin10,,,,,Passy en Vallois,70,,,,,,,,,,,,,3494
28Mar18,11:58,,,Trier,,,0,"DURING ALERTS, RR TRAFFIC & FACTORY & FOUNDRY WORK STOPPED",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,1.116666667,,,Treves,1.116666667,NARA 990 Roll 58,,3495
28Mar18,12:25,,,Zweibrucken,,,0,"Work stopped in factories, businesses, & shops during alerts. Clerk recording this was not consistent on AM/PM. Alert may have been 12 hours earlier.",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0.5,,,,0.5,NARA 990 Roll 58,,3496
28Mar18,12:30,,,"Hollerich, Lux.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,11,,228587,18,,,,Hollerick,,NARA 990,,3497
28Mar18,16:47,,,Hochst A.M.,,,0,NO BOMBS IN CITY LIMITS. FACTORY STOPPED DURING 40% OF ALERTS,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,,0.633333333,NARA 990,,3498
28Mar18,Day,,,Differdange,,,0,ALERT ONLY. LOSS IN PRODUCTION OF IRON @ 498M PER TON.,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,6474,,"Differdingen, Lux.",,NARA 990,,3499
